10003863,Leeds Trinity University
10003867,City Centre Campus
10003928,Lincoln College
10003945,LIPA Mount Street Main Campus
10003955,City Centre
10003955,Vauxhall Road
10003956,Liverpool Hope - Creative Campus
10003956,Carmel College
10003956,Liverpool Hope - Hope Park
10003956,St Mary's College
10003956,Holy Cross College
10003957,Greenbank
10003957,IM Marsh Campus
10003957,City Centre Campus
10004048,Aldgate Site
10004048,Holloway Site
10004048,Moorgate Site
10004048,Partner College: British Institute of Technology
10004048,Partner College: Hackney Community College
10004048,Partner College: Lambeth College
10004048,Partner College: Montessori Centre International
10004061,Main Site
10004063,"Houghton Street, London"
10004075,Main Campus
10004078,Havering Campus
10004078,Southwark Campus
10004079,London Studio Centre
10004112,Main Campus Radmoor Road
10004113,Loughborough University
10004144,Macclesfield College
10004180,Manchester Campus
10004180,Cheshire Campus
10004180,University of Manchester/MMU
10004180,Manchester City FC Etihad Campus
10004320,North Common Road
10004340,Maidstone Campus
10004340,Medway Campus
10004344,Middlesbrough College
10004351,Allianz Park
10004351,College of Animal Welfare
10004351,CTC Aviation
10004351,Helicentre Aviation
10004351,Hendon Campus
10004351,Royal Free Hospital
10004351,Tayside Aviation
10004365,Thomas Street
10004375,Bletchley Campus
10004375,Silbury Campus
10004432,Main Campus
10004442,Moulton College
10004450,Mountview London Peckham
10004478,"Main Campus, Bilsborrow"
10004478,University of Central Lancashire
10004538,"Didsbury, Manchester"
10004552,Nelson and Colne College
10004576,Framwellgate Moor
10004577,Clarendon
10004577,Adams
10004577,Beeston Centre
10004577,Basford Hall
10004577,Clifton Centre
10004577,Highfields Centre
10004579,New College Swindon
10004596,Newbury College
10004599,Aviation Academy
10004599,Carlisle College
10004599,Energy Academy
10004599,Kidderminster College
10004599,Main Campus
10004599,Southwark Campus
10004607,East Ham Campus
10004607,Newham College University Centre
10004676,Brannams Campus
10004676,Mid Devon Campus
10004676,North Devon Campus
10004686,North East Surrey College of Technology
10004686,North East Surrey College of Technology (Oldham Campus)
10004695,North Lindsey College
10004695,University Centre Doncaster
10004718,Hinckley Campus
10004718,Nuneaton Campus
10004718,South Wigston Campus
10004721,Dartford Campus
10004736,Broadwater
10004736,Shoreham Airport
10004736,West Durrington
10004736,Brighton Central
10004736,Brighton East
10004740,Micklegate
10004760,Northumberland College - Kirkley Hall
10004760,Northumberland College - Ashington Campus
10004760,Northumberland College - Berwick Campus
10004760,Northumberland College - Hexham Campus
10004772,City College Norwich
10004775,Norwich Campus
10004797,City Campus
10004797,Clifton Campus
10004797,Brackenhurst Campus
10004797,Confetti Institute of Creative Technologies
10004835,St Albans
10004835,Welwyn Garden City
10004927,"Banbury and Bicester College, Banbury campus"
10004927,City of Oxford College
10004927,Reading College
10004930,Oxford
10004930,Swindon
10005032,Future Skills
10005032,Pendleton Centre
10005032,Walkden Centre
10005072,Adult & Higher Education
10005077,Park Crescent Campus
10005124,Main Site
10005127,Tavistock Place
10005128,Kings Road
10005128,Deep Blue Sound
10005200,Preston College
10005337,Edinburgh Napier
10005337,Craighall
10005343,Queen's University Belfast
10005389,Ravensbourne
10005404,University Centre Reaseheath
10005451,Birmingham Central
10005451,Ealing - West London
10005451,Holborn - Central London
10005451,Manchester Central
10005451,Tower Hill - East/Central London
10005465,Richard Huish College
10005469,Richmond upon Thames College
10005470,Richmond
10005470,Leeds
10005500,Garthdee Campus
10005523,Rose Bruford College
10005534,Dearne Valley Campus
10005534,Retford Post 16 Centre
10005534,Worksop Campus
10005534,Dinnington Campus
10005534,Rotherham Campus
10005544,RAD Headquarters
10005545,Main Campus
10005545,Capel Manor
10005553,Egham Campus
10005561,Main Campus
10005583,Ruskin College
10005669,Sandwell College Campus
10005700,Oatridge
10005700,Barony
10005700,Elmwood
10005700,Aberdeen
10005700,Ayr
10005700,Edinburgh
10005736,Benfleet Campus
10005741,Keepmoat Stadium
10005741,Main Campus
10005788,Sheffield City College
10005788,Hillsborough College
10005790,Collegiate Crescent Campus
10005790,City Campus
10005822,London Road Campus
10005916,Creative Academy
10005946,Blossomfield
10005946,Woodlands
10005946,Stratford Upon Avon College
10005967,Bournville College
10005967,Bordesley Green Campus
10005967,Digbeth Campus
10005972,Crewe Campus
10005972,Ellesmere Port Campus
10005977,South Devon Marine Academy
10005977,University Centre South Devon
10005979,South Downs Campus
10005981,"High House Production Park,Purfleet"
10005981,Southend
